Date,Name,Year,id,original_language,overview,popularity,vote_average,vote_count,genres,revenue,runtime,tagline
2025-05-06,Warfare,2025,1241436,en,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",197.73,7.295,454,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",31896828,95,Everything is based on memory.
2025-05-06,Conclave,2024,974576,en,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",25.6301,7.186,2546,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",115657988,120,What happens behind these walls will change everything.
2025-05-07,Pirates of the Caribbean: At World's End,2007,285,en,"Will Turner and Elizabeth Swann join forces with the revived Captain Barbossa to free Jack Sparrow from Davy Jones' locker. The group must navigate dangerous waters, confront many foes and, ultimately, choose sides in a battle wherein piracy itself hangs in the balance.",16.4483,7.259,14718,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",961691209,169,"At the end of the world, the adventure begins."
2025-05-08,Thunderbolts*,2025,986056,en,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",137.6102,7.442,1025,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",355507728,127,Everyone deserves a second shot.
2025-05-12,The Descent,2005,9392,en,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",6.3023,6.962,4034,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]",57130027,99,Scream your last breath.
2025-05-13,Black Mirror: Eulogy,2025,0,en,blank,0.0,0.0,0.0,blank,0,0,blank
2025-05-16,The Secret Life of Walter Mitty,2013,116745,en,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,9.2536,7.198,7790,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",188133322,114,Stop dreaming. Start living.
2025-05-21,A Simple Favor,2018,484247,en,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",9.0137,6.635,4342,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",97644617,117,Can you keep a secret?
2025-05-21,Final Destination Bloodlines,2025,574475,en,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",394.4219,7.0,484,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",191658534,110,Death runs in the family.
2025-05-21,Mission: Impossible – The Final Reckoning,2025,575265,en,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",295.1838,7.11,440,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",206041120,170,Our lives are the sum of our choices.
2025-05-27,Bring Her Back,2025,1151031,en,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",16.1974,6.3,5,"[{'id': 27, 'name': 'Horror'}]",0,104,Evil comes full circle.
2025-05-27,Fallen Angel,1945,55210,en,"When his father dies, Terry (Gary Sinese) returns to the house where he grew up, planning to stay only long enough to clean and settle the estate. Yet something indescribable keeps him there longer than expected. Soon, he is reunited with memories and people from his past and his life is changed forever.",0.544,6.188,24,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",0,99,
2025-05-27,Until Dawn,2025,1232546,en,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",341.3584,6.455,482,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",50023607,103,Every night a different nightmare.
